match_id,time,adap_ratio,balance_ratio,cc_sum,tank,engage,disengage,adc,mage,assassin,support,mid,top,jungle,bruiser,duelist,poke,hs,bot,win
NA1_5069293840,2025-01-14 02:43:56.773782,0.8400000000000003,0.8,10.0,0,1,0,1,2,0,1,2,1,1,1,0,0,1,1,1
NA1_5069293840,2025-01-14 02:43:56.773782,0.7600000000000002,1.0,14.0,1,1,0,1,1,1,1,3,2,1,0,1,1,0,1,0
NA1_5069241094,2025-01-14 02:43:57.721899,0.72,0.6,9.0,0,1,0,1,2,1,2,1,0,2,0,0,1,1,1,1
NA1_5069241094,2025-01-14 02:43:57.721899,1.0,1.0,17.5,1,2,1,1,1,1,1,1,1,1,1,0,0,1,1,0
NA1_5069193436,2025-01-14 02:43:58.689389,0.72,1.0,17.5,2,3,0,1,1,0,2,1,1,2,0,0,0,1,1,1
NA1_5069193436,2025-01-14 02:43:58.689389,0.8599999999999999,0.8,9.5,0,0,1,1,2,1,1,3,1,2,1,1,1,0,1,0
NA1_5068490641,2025-01-14 02:43:59.592759,0.8200000000000001,1.0,23.0,3,2,2,1,0,1,2,1,2,1,1,0,0,0,1,0
NA1_5068490641,2025-01-14 02:43:59.592759,0.8400000000000001,1.0,18.0,2,2,0,1,2,0,2,2,1,1,0,0,2,0,1,1
NA1_5068464594,2025-01-14 02:44:00.537662,0.72,1.0,18.0,1,1,0,1,2,0,1,2,2,1,1,0,0,0,1,1
NA1_5068464594,2025-01-14 02:44:00.537662,0.98,1.0,16.5,1,2,0,1,1,1,1,1,1,1,2,0,0,1,1,0
NA1_5068415777,2025-01-14 02:44:01.441618,0.96,1.0,14.0,1,2,0,1,0,0,1,1,3,1,2,2,1,0,1,1
NA1_5068415777,2025-01-14 02:44:01.441618,0.72,1.0,19.5,2,3,1,1,0,1,2,2,1,1,1,0,1,0,1,0
NA1_5081708852,2025-01-14 02:44:02.332030,0.96,1.0,12.0,1,0,1,1,1,1,2,2,2,2,1,0,1,0,1,1
NA1_5081708852,2025-01-14 02:44:02.332030,0.6199999999999999,0.4,9.5,0,0,0,1,1,2,0,2,2,1,1,2,2,0,1,0
NA1_5081683864,2025-01-14 02:44:03.336251,0.6200000000000001,1.0,16.5,1,1,1,1,2,0,2,2,2,2,1,1,1,0,1,1
NA1_5081683864,2025-01-14 02:44:03.336251,0.6800000000000002,1.0,13.0,1,0,2,1,1,0,2,1,3,2,2,1,1,1,1,0
NA1_5081638800,2025-01-14 02:44:04.243468,0.8399999999999999,0.8,13.0,0,1,1,1,1,2,1,1,1,2,3,1,0,1,1,1
NA1_5081638800,2025-01-14 02:44:04.243468,0.8200000000000001,0.6,13.5,0,1,1,1,3,1,1,3,3,0,1,1,1,1,1,0
NA1_5087882340,2025-01-14 02:44:05.205677,0.98,1.0,17.0,2,2,1,2,1,0,1,1,1,1,1,0,0,0,2,1
NA1_5087882340,2025-01-14 02:44:05.206676,0.8,1.0,13.0,2,0,1,1,1,1,1,1,2,1,2,1,0,1,1,0
NA1_5087838768,2025-01-14 02:44:06.180060,0.7999999999999998,1.0,17.0,1,0,1,2,1,1,2,2,1,1,0,1,0,0,1,0
NA1_5087838768,2025-01-14 02:44:06.180060,0.6599999999999999,1.0,19.5,1,3,0,2,0,1,1,1,2,1,1,0,0,1,2,1
NA1_5087791995,2025-01-14 02:44:07.176141,0.8200000000000001,0.8,16.5,3,3,1,1,2,0,0,1,3,2,1,1,0,0,1,0
NA1_5087791995,2025-01-14 02:44:07.176141,0.8,1.0,11.5,1,0,1,1,3,1,1,1,1,1,1,1,1,1,1,1
NA1_5038896818,2025-01-14 02:44:08.168128,0.54,1.0,22.5,3,3,0,1,2,1,1,1,1,1,0,0,2,0,1,0
NA1_5038896818,2025-01-14 02:44:08.168128,0.8999999999999999,1.0,13.5,1,2,0,2,1,0,2,1,2,2,2,1,1,0,2,1
NA1_5038882934,2025-01-14 02:44:09.196668,0.8,1.0,22.5,1,1,1,0,2,1,2,3,2,2,1,0,2,2,1,1
NA1_5038882934,2025-01-14 02:44:09.196668,0.7200000000000002,1.0,10.0,1,1,0,1,1,1,1,3,3,2,1,1,2,0,1,0
NA1_5038866492,2025-01-14 02:44:10.197163,0.8400000000000001,1.0,15.0,1,2,0,1,0,2,1,1,2,2,1,0,0,0,1,1
NA1_5038866492,2025-01-14 02:44:10.197163,0.6600000000000001,0.8,15.0,2,2,0,1,2,0,0,2,2,2,1,0,1,0,1,0
